title,company,location,date_posted,salary,description,url
Machine Learning Engineer,Acme Corp,"London, UK",2023-05-22,3500-5500 EUR/month,"We are looking for a Machine Learning Engineer. Skills required: Tableau, SQL, AWS.",https://example.com/job/0
Business Analyst,Globex,Remote,2024-09-27,3000-4000 EUR/month,"We are looking for a Business Analyst. Skills required: AWS, Docker, JavaScript, SQL.",https://example.com/job/1
Data Scientist,Wayne Enterprises,"London, UK",2023-11-09,2500-3000 EUR/month,"We are looking for a Data Scientist. Skills required: SQL, Python, Excel.",https://example.com/job/2
Business Analyst,Innotech,"Cluj-Napoca, Romania",2024-11-19,4500-5500 EUR/month,"We are looking for a Business Analyst. Skills required: JavaScript, Tableau, Docker.",https://example.com/job/3
Frontend Developer,Wayne Enterprises,Remote,2024-04-01,3000-3500 EUR/month,"We are looking for a Frontend Developer. Skills required: Python, JavaScript, AWS, Docker.",https://example.com/job/4
Data Scientist,Wayne Enterprises,"Bucharest, Romania",2023-03-14,3000-3500 EUR/month,"We are looking for a Data Scientist. Skills required: Docker, Excel.",https://example.com/job/5
Data Analyst,Cyberdyne,"Cluj-Napoca, Romania",2024-04-09,3500-4000 EUR/month,"We are looking for a Data Analyst. Skills required: AWS, Python, React, JavaScript.",https://example.com/job/6
Frontend Developer,Innotech,"Bucharest, Romania",2024-10-30,4500-5000 EUR/month,"We are looking for a Frontend Developer. Skills required: Docker, Excel, JavaScript.",https://example.com/job/7
DevOps Engineer,Acme Corp,"London, UK",2023-05-21,3500-5500 EUR/month,"We are looking for a DevOps Engineer. Skills required: AWS, SQL, Excel, JavaScript.",https://example.com/job/8
Data Analyst,Cyberdyne,Remote,2024-09-28,4500-5000 EUR/month,"We are looking for a Data Analyst. Skills required: SQL, Tableau, JavaScript, Excel.",https://example.com/job/9
DevOps Engineer,Acme Corp,"Bucharest, Romania",2024-07-08,4000-5000 EUR/month,"We are looking for a DevOps Engineer. Skills required: SQL, JavaScript.",https://example.com/job/10
DevOps Engineer,Wayne Enterprises,Remote,2024-04-02,4500-5000 EUR/month,"We are looking for a DevOps Engineer. Skills required: Python, Power BI, Excel, AWS.",https://example.com/job/11
Data Scientist,Acme Corp,"London, UK",2024-01-30,3500-5500 EUR/month,"We are looking for a Data Scientist. Skills required: Docker, Excel, Tableau, SQL.",https://example.com/job/12
